region;country;zone;lat;lon;url;ref
poland;lesko;storks;41.3907285;2.1145455;https://worldcam.eu/webcams/poland/lesko/10520-storks;10520
poland;brzesko;szczepanow church;50.0052685;20.6551723;https://worldcam.eu/webcams/poland/brzesko/18084-szczepanow-church;18084
poland;rzeszow;skatepark;50.0526053;21.9917264;https://worldcam.eu/webcams/poland/rzeszow/7919-skatepark;7919
poland;witkowo;skorzecin niedziegiel lake;52.4373054;17.830723;https://worldcam.eu/webcams/poland/witkowo/16682-skorzecin-niedziegiel-lake;16682
poland;korbielow;church;49.575725;19.34644;https://worldcam.eu/webcams/poland/korbielow/19516-church;19516
poland;brzozow;haczow stadium;49.6712302;21.8921005;https://worldcam.eu/webcams/poland/brzozow/15376-haczow-stadium;15376
poland;pilzno;market square;49.9782317;21.2912415;https://worldcam.eu/webcams/poland/pilzno/13006-market-square;13006
poland;sierpc;open air museum;52.8634241;19.6485206;https://worldcam.eu/webcams/poland/sierpc/20726-open-air-museum;20726
poland;bielinek;oder;51.3837376;16.2215771;https://worldcam.eu/webcams/poland/bielinek/30909-oder;30909
poland;kartuzy;wiezyca koszalkowo ski resort;54.2337393;18.1026443;https://worldcam.eu/webcams/poland/kartuzy/340-wiezyca-koszalkowo-ski-resort;340
poland;swieradow zdroj;saint joseph church;50.9062256;15.3323658;https://worldcam.eu/webcams/poland/swieradow-zdroj/31047-saint-joseph-church;31047
poland;lubin;city panorama;51.3949792;16.206378;https://worldcam.eu/webcams/poland/lubin/26724-city-panorama;26724
poland;ciechocinek;grzybek fountain;52.8811083;18.7925653;https://worldcam.eu/webcams/poland/ciechocinek/428-grzybek-fountain;428
poland;swieradow zdroj;stog izerski;50.8916437;15.3039712;https://worldcam.eu/webcams/poland/swieradow-zdroj/20682-stog-izerski;20682
poland;hrubieszow;church;50.8101464;23.8872651;https://worldcam.eu/webcams/poland/hrubieszow/147-church;147
poland;chlapowo;coast panorama;54.7985575;18.3843782;https://worldcam.eu/webcams/poland/chlapowo/4458-coast-panorama;4458
poland;rablow;ski slope;51.3061238;22.0894764;https://worldcam.eu/webcams/poland/rablow/4276-ski-slope;4276
poland;lubin;town hall;51.3971429;16.2056788;https://worldcam.eu/webcams/poland/lubin/17926-town-hall;17926
poland;koronowo;victory square pieczyska;53.3147856;17.9647073;https://worldcam.eu/webcams/poland/koronowo/265-victory-square-pieczyska;265
poland;wadowice;jaszczurowa jezioro mucharskie;49.7980182;19.5154634;https://worldcam.eu/webcams/poland/wadowice/18326-jaszczurowa-jezioro-mucharskie;18326
poland;krotoszyn;church;51.7021924;17.4340385;https://worldcam.eu/webcams/poland/krotoszyn/22142-church;22142
poland;swinoujscie;harbour;53.9042061;14.2736332;https://worldcam.eu/webcams/poland/swinoujscie/10330-harbour;10330
poland;swinoujscie;panorama of the city;53.9168598;14.2462457;https://worldcam.eu/webcams/poland/swinoujscie/13107-panorama-of-the-city;13107
poland;czchow;market place market square;49.8239339;20.6763119;https://worldcam.eu/webcams/poland/czchow/252-market-place-market-square;252
poland;leba;beach;54.763546;17.5407756;https://worldcam.eu/webcams/poland/leba/14949-beach;14949
poland;wisla;nowa osada ski slope;49.6363764;18.8907571;https://worldcam.eu/webcams/poland/wisla/5219-nowa-osada-ski-slope;5219
