region;country;zone;ref;url
south america;brazil;foz do iguacu;8432;https://worldcam.eu/webcams/south-america/brazil/8432-foz-do-iguacu
south america;uruguay;montevideo katoen natie terminal cuenca del plata;33756;https://worldcam.eu/webcams/south-america/uruguay/33756-montevideo-katoen-natie-terminal-cuenca-del-plata
south america;barbados;christ church saint lawrence gap;16161;https://worldcam.eu/webcams/south-america/barbados/16161-christ-church-saint-lawrence-gap
south america;argentina;tandil lago del fuerte;34658;https://worldcam.eu/webcams/south-america/argentina/34658-tandil-lago-del-fuerte
south america;chile;santiago villa santa elena pedrero;31525;https://worldcam.eu/webcams/south-america/chile/31525-santiago-villa-santa-elena-pedrero
south america;barbados;oistins dover beach;20518;https://worldcam.eu/webcams/south-america/barbados/20518-oistins-dover-beach
south america;brazil;andarai panoramic view;9446;https://worldcam.eu/webcams/south-america/brazil/9446-andarai-panoramic-view
south america;chile;santiago several views;62;https://worldcam.eu/webcams/south-america/chile/62-santiago-several-views
south america;brazil;rio de janeiro panoramic view;14077;https://worldcam.eu/webcams/south-america/brazil/14077-rio-de-janeiro-panoramic-view
south america;cura ao;klein curacao;31660;https://worldcam.eu/webcams/south-america/cura-ao/31660-klein-curacao
south america;brazil;cerqueira cesar;20757;https://worldcam.eu/webcams/south-america/brazil/20757-cerqueira-cesar
south america;brazil;tangara morro agudo paragliding;33155;https://worldcam.eu/webcams/south-america/brazil/33155-tangara-morro-agudo-paragliding
south america;argentina;tres arroyos radio lu24;33660;https://worldcam.eu/webcams/south-america/argentina/33660-tres-arroyos-radio-lu24
south america;barbados;bridgetown accra beach;16160;https://worldcam.eu/webcams/south-america/barbados/16160-bridgetown-accra-beach
south america;barbados;bridgetown golden square freedom park;26233;https://worldcam.eu/webcams/south-america/barbados/26233-bridgetown-golden-square-freedom-park
south america;brazil;aguas da prata pico do gaviao;25094;https://worldcam.eu/webcams/south-america/brazil/25094-aguas-da-prata-pico-do-gaviao
south america;uruguay;montevideo mercado del puerto;18681;https://worldcam.eu/webcams/south-america/uruguay/18681-montevideo-mercado-del-puerto
south america;brazil;sao jose da boa vista several views;29985;https://worldcam.eu/webcams/south-america/brazil/29985-sao-jose-da-boa-vista-several-views
south america;argentina;pinamar beach;18399;https://worldcam.eu/webcams/south-america/argentina/18399-pinamar-beach
south america;barbados;bridgetown savvy on the bay;20533;https://worldcam.eu/webcams/south-america/barbados/20533-bridgetown-savvy-on-the-bay
south america;brazil;balneario camboriu praia central;21963;https://worldcam.eu/webcams/south-america/brazil/21963-balneario-camboriu-praia-central
south america;argentina;santa clara del mar;31640;https://worldcam.eu/webcams/south-america/argentina/31640-santa-clara-del-mar
south america;brazil;brusque avenida beira rio ponte estaiada;30046;https://worldcam.eu/webcams/south-america/brazil/30046-brusque-avenida-beira-rio-ponte-estaiada
south america;brazil;ribeirao do sul praca matriz entrada do cristo;33576;https://worldcam.eu/webcams/south-america/brazil/33576-ribeirao-do-sul-praca-matriz-entrada-do-cristo
south america;peru;lobitos beach;35174;https://worldcam.eu/webcams/south-america/peru/35174-lobitos-beach
south america;brazil;cajamar anhanguera highway;31123;https://worldcam.eu/webcams/south-america/brazil/31123-cajamar-anhanguera-highway
south america;barbados;bridgetown carlisle bay beach;34024;https://worldcam.eu/webcams/south-america/barbados/34024-bridgetown-carlisle-bay-beach
south america;chile;huechuraba vehicle inspection station;35123;https://worldcam.eu/webcams/south-america/chile/35123-huechuraba-vehicle-inspection-station
south america;colombia;girardota panoramic view;32871;https://worldcam.eu/webcams/south-america/colombia/32871-girardota-panoramic-view
