timestamp;event;ip;hostname
2025-06-18 05:18:09;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:09;LEAVE;192.168.1.1;Unknown
2025-06-18 05:18:11;JOIN;192.168.1.1;_gateway
2025-06-18 05:18:11;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:11;LEAVE;192.168.1.41;Unknown
2025-06-18 05:18:14;JOIN;192.168.1.41;Unknown
2025-06-18 05:18:14;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:14;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:16;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:16;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:18;JOIN;192.168.1.49;Unknown
2025-06-18 05:18:18;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:18;JOIN;192.168.1.92;Unknown
2025-06-18 05:18:18;LEAVE;192.168.1.206;Unknown
2025-06-18 05:18:20;JOIN;192.168.1.32;Unknown
2025-06-18 05:18:20;JOIN;192.168.1.206;Unknown
2025-06-18 05:18:20;LEAVE;192.168.1.92;Unknown
2025-06-18 05:18:20;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:20;LEAVE;192.168.1.56;Unknown
2025-06-18 05:18:20;LEAVE;192.168.1.49;Unknown
2025-06-18 05:18:22;JOIN;192.168.1.22;Unknown
2025-06-18 05:18:22;JOIN;192.168.1.92;Unknown
2025-06-18 05:18:22;LEAVE;192.168.1.1;Unknown
2025-06-18 05:18:22;LEAVE;192.168.1.89;Unknown
2025-06-18 05:18:22;LEAVE;192.168.1.32;Unknown
2025-06-18 05:18:25;JOIN;192.168.1.1;_gateway
2025-06-18 05:18:25;JOIN;192.168.1.56;Unknown
2025-06-18 05:18:25;JOIN;192.168.1.49;Unknown
2025-06-18 05:18:25;JOIN;192.168.1.89;Unknown
2025-06-18 05:18:25;LEAVE;192.168.1.92;Unknown
2025-06-18 05:18:25;LEAVE;192.168.1.22;Unknown
2025-06-18 05:18:26;LEAVE;192.168.1.206;Unknown
2025-06-18 05:18:26;LEAVE;192.168.1.49;Unknown
2025-06-18 05:18:28;JOIN;192.168.1.22;Unknown
